external_id,title,company,domain_tag,total_skills,core_count
242530,INGÉNIEUR CONCEPTION MÉCANIQUE (H/F),FORTIL GROUP,engineering,3,0
242484,Business Developer H/F (H/F),RICHEL GROUP,sales,3,0
231644,JR HR PMO (H/F),TYCO ELECTRONICS FRANCE SAS,hr,3,0
242372,INGÉNIEUR PROJET MES (H/F),FORTIL GROUP,supply,3,0
242205,Marketing Campaign Coordinator (H/F),AYMING,marketing,3,0
237413,BUSINESS DEVELOPER (H/F),MABOITEAMOUSTIQUE,sales,3,0
242110,FSSC Operational Excellence (H/F),ARKEMA FRANCE,finance,3,0
237471,Country Opener (H/F),AMARIS FRANCE SAS,sales,3,0
238396,Project Leader Regulatory Affairs (H/F),SANOFI WINTHROP INDUSTRIE,supply,3,0
238349,CHARGÉ.E DE DÉVELOPPEMENT (H/F),INNOVENT,operations,3,0
240142,VIE – Supply Chain / Logistique (H/F),LAGARDERE TRAVEL RETAIL,supply,3,0
242267,VIE-Digital & Sales Data Analyst (H/F),L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,data,3,0
242215,INGÉNIEUR(E) QUALIFICATION / VALIDATION (H/F),FORTIL GROUP,supply,3,0
238422,Corporate Credit Analyst (H/F),BANQUE FEDERATIVE DU CREDIT MUTUEL,data,3,0
237799,ANALYSTE FINANCIER ENERGIE (H/F),TELCO OI,finance,3,0
238252,Contrôleur(euse) financier(ère) (H/F),EQUANS,finance,3,0
238394,Ingénieur Généraliste (Méthodes Maintenance) (H/F),ETABLISSEMENTS MAUREL ET PROM,engineering,3,0
237230,Consultant - Banking & Insurance (H/F),INTYS,data,3,0
238237,INGENIEUR AMELIORATION PRODUCTION (H/F),MECACHROME FRANCE,engineering,3,0
237224,Junior Developer (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,engineering,3,0
237251,COMMERCIAL TERRAIN (H/F),COLIN INGREDIENTS,sales,3,0
231018,BUSINESS DEVELOPER ALLEMAGNE - MUNICH H/F (H/F),SYNAPSUN,supply,3,0
242096,AI Americas - US HR Digital (H/F),AIRBUS,data,3,0
242222,Ingénieur(e) Construction & Chantier H/F (H/F),AFRICA GLOBAL LOGISTICS,supply,3,0
231643,JR HR PMO (H/F),TYCO ELECTRONICS FRANCE SAS,hr,3,0
242176,Project Manager Oil & Gas (H/F),AFRICA GLOBAL LOGISTICS,operations,3,0
242161,VIE – Method Engineer - Zalaegerszeg (Hungary) (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,engineering,3,0
242326,HRIS Project Professional (H/F),OPMOBILITY GESTION,hr,3,0
242178,Business Developer - VIE - Barcelone (H/F),FLASH CONTRACT,sales,3,0
231966,DATA ANALYST - DATA SCIENTIST - DATA ENGINEER H/F (H/F),CLEEVEN ND,data,3,0
242179,PROJECT MANAGER HEAVY LIFT (H/F),AFRICA GLOBAL LOGISTICS,operations,3,0
242067,Data Engineer (H/F),AMARIS FRANCE SAS,data,3,0
238008,Chargé(e) de développement commercial – Allemagne (H/F),LOGIPREM-F,sales,3,0
