external_id,title,company,country,domain_tag,confidence,method,evidence
233038,INGENIEUR ELECTRIQUE H/F (H/F),EFE INTERNATIONAL,BELGIQUE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
233037,INGENIEUR MECANIQUE H/F (H/F),EFE INTERNATIONAL,BELGIQUE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
233036,INGENIEUR METHODES H/F (H/F),EFE INTERNATIONAL,BELGIQUE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
228470,INGENIEUR TECHNICO COMMERCIAL DIGITAL (H/F),CITYPASSENGER,ITALIE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
238310,INGÉNIEUR COORDINATION (H/F),S T I B,TUNISIE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
238327,INGÉNIEUR PROCESS (H/F),FORTIL GROUP,BELGIQUE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
242316,INGÉNIEUR TECHNICO-COMMERCIAL H/F) (H/F),FORTIL GROUP,BELGIQUE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
242488,IT-support (1st level) (H/F),COLAS RAIL,SUISSE,admin,0.5,rules,"[""office"", ""support""]"
237909,Ingénieur(e) technico-commercial dans le traitement des eaux industrielles en itinérance (H/F),EFE INTERNATIONAL,CONGO,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
242109,International HR Project & Governance (H/F),AIRBUS HELICOPTERS,POLOGNE,hr,0.5,rules,"[""recruitment"", ""talent"", ""hr""]"
240135,Junior Developer – Electricity Markets (H/F),ACENSI SAS,BELGIQUE,engineering,0.5,rules,"[""developer"", ""software"", ""backend""]"
238361,Junior Technical Account Engineer (H/F),LUMAPPS,JAPON,sales,0.5,rules,"[""sales"", ""business"", ""client"", ""account""]"
237984,Junior/Mid Scrum Master (H/F),ASF ACT DIGITAL,PORTUGAL,admin,0.5,rules,"[""office"", ""support""]"
237987,Mid IT Business Analyst (H/F),ASF ACT DIGITAL,PORTUGAL,data,0.5,rules,"[""sql"", ""data"", ""analyst""]"
237992,Mid Java Developer (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.5,rules,"[""developer"", ""software""]"
241000,Process Engineer (H/F),LESAFFRE INTERNATIONAL,MEXIQUE,engineering,0.5,rules,"[""engineer""]"
238140,Project Engineer Packaging (H/F),LESAFFRE INTERNATIONAL,ESPAGNE,engineering,0.5,rules,"[""engineer"", ""automation""]"
238419,"Project Management in Flight Hours Services Processes, Methods and Tools (H/F)",AIRBUS,MALAISIE,sales,0.5,rules,"[""business"", ""commercial""]"
242230,Purchasing Specialist (H/F),SAFRAN CABIN FRANCE,ETATS-UNIS,admin,0.5,rules,"[""support"", ""administratif""]"
236600,Quality Engineer – BPO (H/F),PLASTIC OMNIUM AUTO INERGY MANAGEMENT,POLOGNE,engineering,0.5,rules,"[""engineer""]"
238353,R&D Engineer - Lithography (H/F),PRODUCT DEVELOPMENT EMPLOYENEURSHIP,BELGIQUE,engineering,0.5,rules,"[""engineer""]"
237481,R&D Packaging Engineer (H/F),BAXTER S.A.S,BELGIQUE,engineering,0.5,rules,"[""engineer""]"
242246,Sales and Admissions officer (H/F),ALBERT GLOBAL DATA SCHOOL,ESPAGNE,sales,0.5,rules,"[""sales"", ""commercial""]"
238102,Sales engineer (H/F) - Parlant Chinois,HUTCHINSON,ITALIE,sales,0.5,rules,"[""sales"", ""business""]"
242132,Scrum Master (Systèmes Embarqués IoT) (H/F),ABYLSEN SIGMA,ESPAGNE,engineering,0.5,rules,"[""ingenieur"", ""ingénieur""]"
240124,Spécialiste CRM & Digital (H/F),NAOS,CANADA,marketing,0.5,rules,"[""marketing"", ""seo""]"
242452,Subcontract Lead for LNG Trains / Technical Building F/H (H/F),TECHNIP ENERGIES FRANCE,EMIRATS ARABES UNIS,admin,0.5,rules,"[""assistant"", ""support"", ""administration""]"
242107,Support applicatif Niveau 2 (H/F),HN SERVICES,PORTUGAL,admin,0.5,rules,"[""support""]"
242317,Systems Engineer (Aerospace / UAS) (H/F),PRODUCT DEVELOPMENT EMPLOYENEURSHIP,PORTUGAL,engineering,0.5,rules,"[""engineer"", ""software""]"
242256,User Acquisition Specialist (H/F),GAMELOFT SE,BULGARIE,hr,0.5,rules,"[""recruitment"", ""hr""]"
237043,V.I.E Main Automation Vendor Package Engineer - F/H (H/F),TECHNIP ENERGIES FRANCE,COREE DU SUD,engineering,0.5,rules,"[""engineer"", ""automation""]"
238049,"V.I.E. – Project Coordinator – Edmonton, CANADA- (H/F)",VINCI CONSTRUCTION SERVICES PARTAGES,CANADA,data,0.5,rules,"[""data"", ""reporting""]"
242155,VIE - Quality Assurance Engineer - Horgen (Switzerland) (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,SUISSE,engineering,0.5,rules,"[""engineer""]"
242158,VIE – Finance Transformation Administrator - Barcelona (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,ESPAGNE,admin,0.5,rules,"[""support"", ""administrator""]"
242095,VIE – Sourcing Digitalization Analyst (H/F),FAIVELEY TRANSPORT,ITALIE,data,0.5,rules,"[""data"", ""analyst""]"
236438,VMS Tool Officer (H/F),INNOHA,ESPAGNE,hr,0.5,rules,"[""recrutement"", ""talent""]"
