title_pattern,external_id,title,company,domain_tag,confidence,method,evidence
business_analyst,242234,Supply Chain Business Analyst (H/F),SAFRAN CABIN FRANCE,data,0.9,rules,"[""business intelligence""]"
business_analyst,236315,Business Analyst (H/F),AMARIS FRANCE SAS,data,0.75,rules,"[""analyst"", ""reporting""]"
business_analyst,242044,Business Analyst (H/F),EFE INTERNATIONAL,data,0.6667,rules,"[""sql"", ""data"", ""analyst""]"
business_analyst,242371,BUSINESS ANALYST (H/F),DAVIDSON NORD,data,0.6667,rules,"[""analyst""]"
business_analyst,242473,Business Analyst F/H (H/F),BRED BANQUE POPULAIRE,data,0.5,rules,"[""analyst""]"
business_analyst,237987,Mid IT Business Analyst (H/F),ASF ACT DIGITAL,data,0.5,rules,"[""sql"", ""data"", ""analyst""]"
business_analyst,231968,BUSINESS ANALYST M/F (H/F),CLEEVEN ND,data,0.5,rules,"[""data"", ""analyst""]"
business_analyst,237194,BUSINESS ANALYST/MOA (F/M) (H/F),AUDENSIEL NORD,data,0.3333,rules,"[""analyst""]"
business_analyst,238142,Business Analyst – Finance / SCM ( (H/F),KERSIA INTERNATIONAL,finance,0.9,ai_fallback,"[""Business Analyst – Finance"", ""finance part under 'Oracle Applications Cloud'"", ""financial field""]"
business_analyst,242268,VIE Business Analyst / Project Coordinator - Financial Services (French Speaker) (H/F),MERITIS,operations,0.9,rules,"[""project manager""]"
business_analyst,238309,Business Analyst core Banking F/h (H/F),BRED BANQUE POPULAIRE,operations,0.9,rules,"[""chef de projet""]"
business_analyst,236852,BUSINESS ANALYST (H/F),TOTALENERGIES SE,sales,0.4444,rules,"[""sales"", ""business"", ""client""]"
business_developer_not_sales,242331,Business Developer (H/F),EDF POWER SOLUTIONS,engineering,0.6667,rules,"[""developer""]"
business_developer_not_sales,238314,BUSINESS DEVELOPER (H/F),TWYCE,engineering,0.5,rules,"[""developer""]"
business_developer_not_sales,238197,Business Developer - VIE - Barcelone (H/F),FLASH CONTRACT,engineering,0.5,rules,"[""developer""]"
business_developer_not_sales,240150,Business Developer Allemagne – Photovoltaïque F/H (H/F),IDEX SERVICES,supply,0.9,rules,"[""logistique""]"
