external_id,title,company,country,domain_tag,confidence,method,evidence
238345,CHARGE (E) DE MISSION NUCLEAIRE (H/F),COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,KAZAKHSTAN,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
232729,CHARGE.E DE PROJET (H/F),IKA,GABON,engineering,0.9,rules,"[""devops""]"
232033,DESIGNER UX/UI (H/F),HELLO POMELO,ESPAGNE,engineering,0.9,rules,"[""devops""]"
232818,DESSINATEUR / PROJETEUR BETON - (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242447,DEVOPS (H/F),ASTEK FRANCE,PORTUGAL,engineering,0.9,rules,"[""devops""]"
230522,DEVOPS ENGINEER (H/F),HELLO POMELO,ESPAGNE,engineering,0.9,rules,"[""software engineer""]"
238323,DÉVELOPPEUR JAVA (H/F),EXTIA,CANADA,engineering,0.9,rules,"[""devops""]"
238324,DÉVOPS (H/F),EXTIA,CANADA,engineering,0.9,rules,"[""devops""]"
238445,Développeur .NET (H/F),ASTEK FRANCE,LUXEMBOURG,engineering,1.0,rules,"[""developpeur"", ""développeur""]"
237885,Développeur Flutter (H/F),RIPLEE,BELGIQUE,engineering,1.0,rules,"[""developpeur"", ""développeur""]"
242309,Développeur PHP (H/F),PORTIFY SERVICES,MAURICE,engineering,1.0,rules,"[""developpeur"", ""développeur""]"
237884,Développeur React Native (H/F),RIPLEE,BELGIQUE,engineering,1.0,rules,"[""developpeur"", ""développeur""]"
238076,Electrical Engineer : Primary Engineering – Substation Construction (H/F),EIFFAGE ENERGIE SYSTEMES - GESTION & DEVELOPPEMENT,ALLEMAGNE,engineering,1.0,rules,"[""engineer""]"
236118,Embedded Linux Engineer ( H/F) (H/F),BAYLIBRE,ETATS-UNIS,engineering,1.0,rules,"[""engineer"", ""software""]"
240133,Embedded Software Engineer (H/F),NALYS FRANCE,BELGIQUE,engineering,0.9,rules,"[""software engineer""]"
238392,Embedded Software Engineer (H/F),ALTRAN TECHNOLOGIES,BELGIQUE,engineering,0.9,rules,"[""software engineer""]"
240149,Embedded Software Engineer (H/F),WATT ET WELL,ETATS-UNIS,engineering,0.9,rules,"[""software engineer""]"
242200,Embedded Software Engineer (H/F),NALYS FRANCE,BELGIQUE,engineering,0.9,rules,"[""software engineer""]"
231808,FULL STACK ENGINEER (H/F),HELLO POMELO,ESPAGNE,engineering,0.9,rules,"[""full stack""]"
236293,Field Engineer (H/F),NORCAN,ALLEMAGNE,engineering,1.0,rules,"[""engineer""]"
238139,Front-End Developer (H/F),WITBE,ETATS-UNIS,engineering,0.9,rules,"[""frontend developer""]"
237792,Full stack software engineer (H/F),SERVICES TECHNIQUES SCHLUMBERGER,ETATS-UNIS,engineering,0.9,rules,"[""software engineer""]"
242252,Fullstack Java/Scala Developer (H/F),FORTIL GROUP,LUXEMBOURG,engineering,1.0,rules,"[""developer"", ""developpeur"", ""développeur"", ""software"", ""backend"", ""frontend""]"
238244,INGENIEUR ELECTRIQUE (H/F),PRODUCT DEVELOPMENT EMPLOYENEURSHIP,CANADA,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
237181,INGENIEUR GENIE ELECTRIQUE H/F (H/F),NGEN LILLE,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
232820,INGENIEUR HVAC (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
232827,INGENIEUR INSTRUMENTATION (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
232832,INGENIEUR MECANIQUE - (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242229,INGENIEUR TRAVAUX JUNIOR H/F (H/F),DEMATHIEU BARD GENIE CIVIL,ETATS-UNIS,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
237045,INGENIEUR(E) CONCEPTION MECANIQUE (H/F),NGEN LILLE,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242538,INGENIEUR.E INFRASTRUCTURES (H/F),AUSTRAL NET,MAROC,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
237256,INGÉNIEUR AMELIORATION CONTINUE (H/F),NGEN LILLE,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
232830,INGÉNIEUR AUTOMATICIEN (H/F),EXTIA,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
242530,INGÉNIEUR CONCEPTION MÉCANIQUE (H/F),FORTIL GROUP,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
237411,INGÉNIEUR DÉVELOPPEMENT LABVIEW (H/F),T&S TECHNOLOGY &STRATEGY ENGINEERING,ALLEMAGNE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur"", ""developpeur"", ""développeur""]"
231372,INGÉNIEUR HVAC H/F (H/F),EFE INTERNATIONAL,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
237460,INGÉNIEUR MAINTENANCE (H/F),PRODIGYUS,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
231157,INGÉNIEUR MÉTHODES/INDUSTRIALISATION (H/F),ACALY,BELGIQUE,engineering,1.0,rules,"[""ingenieur"", ""ingénieur""]"
