offer_uid,diff_type
ft_200JVNF,DELETED
ft_200JPSX,DELETED
ft_200JQYX,DELETED
ft_200JSMJ,DELETED
ft_200HGMV,DELETED
ft_200HHGK,DELETED
ft_200JSQW,DELETED
ft_200GZCD,DELETED
ft_200JKTG,DELETED
ft_200JKVZ,DELETED
ft_200JNFX,DELETED
ft_200JJNM,DELETED
ft_200GVKG,DELETED
ft_200JTBZ,DELETED
ft_200GZJJ,DELETED
ft_200JSKD,DELETED
ft_200GYSH,DELETED
ft_200HBLS,DELETED
ft_200JJJZ,DELETED
ft_200GYGR,DELETED
ft_200JKZY,DELETED
ft_200JMNP,DELETED
ft_200JMKF,DELETED
ft_200JRNZ,DELETED
ft_200GXBZ,DELETED
ft_200JVBX,DELETED
ft_200GVWG,DELETED
ft_200HBBF,DELETED
ft_200GZKQ,DELETED
ft_200HHCF,DELETED
ft_200GWZW,DELETED
ft_200GWLT,DELETED
ft_200HGNJ,DELETED
ft_200GWJH,DELETED
ft_200JQDB,DELETED
ft_200JPFQ,DELETED
ft_200JLTS,DELETED
ft_200JRKC,DELETED
ft_200JKBN,DELETED
ft_200GXXB,DELETED
ft_200JVPN,DELETED
ft_200JLBL,DELETED
ft_200HGKK,DELETED
ft_200JSBV,DELETED
ft_200GZGR,DELETED
ft_200HFHN,DELETED
ft_200HDGS,DELETED
ft_200JVMY,DELETED
ft_200HGKL,DELETED
ft_200JLMC,DELETED
ft_200JKXW,DELETED
ft_200JQGD,DELETED
ft_200HHDW,DELETED
ft_200GQZJ,DELETED
ft_200HHGH,DELETED
ft_200JPFV,DELETED
ft_200JQCJ,DELETED
ft_200GWDV,DELETED
ft_200JPBP,DELETED
ft_200GXZF,DELETED
ft_200GVVC,DELETED
ft_200GWMR,DELETED
ft_200GXMQ,DELETED
ft_200HDSP,DELETED
ft_200JJPQ,DELETED
ft_200JRJY,DELETED
ft_200JQRJ,DELETED
ft_200JSHQ,DELETED
ft_200JPZQ,DELETED
ft_200GXTM,DELETED
ft_200JTZW,DELETED
ft_200HCKH,DELETED
ft_200JTBL,DELETED
ft_200GZFG,DELETED
ft_200GYSF,DELETED
ft_200HDSH,DELETED
ft_200JJTZ,DELETED
ft_200GZNS,DELETED
ft_200JJMR,DELETED
ft_200HDLL,DELETED
ft_200GZFK,DELETED
ft_200JVCB,DELETED
ft_200GWKY,DELETED
ft_200JLLR,DELETED
ft_200JJJL,DELETED
ft_200HGMG,DELETED
ft_200JQBT,DELETED
ft_200GYHM,DELETED
ft_200JQFY,DELETED
ft_200GZRV,DELETED
ft_200HGDH,DELETED
ft_200GWWN,DELETED
ft_200JKVM,DELETED
ft_200JMGJ,DELETED
ft_200JQMS,DELETED
ft_200JTWV,DELETED
ft_200JJSY,DELETED
ft_200GXFL,DELETED
ft_200GYTX,DELETED
ft_200HDKZ,DELETED
ft_200GRLQ,DELETED
ft_200JHVK,DELETED
ft_200JRKL,DELETED
ft_200HFWJ,DELETED
ft_200GRKL,DELETED
ft_200JMZV,DELETED
ft_200GXKC,DELETED
ft_200HBVH,DELETED
ft_200HGLN,DELETED
ft_200JVHV,DELETED
ft_200JQHS,DELETED
ft_200JQQX,DELETED
ft_200HGGH,DELETED
ft_200HBDN,DELETED
ft_200HCYW,DELETED
ft_200GWFY,DELETED
ft_200JLKV,DELETED
ft_200JTHQ,DELETED
ft_200JPYJ,DELETED
ft_200JNNJ,DELETED
ft_200HDGZ,DELETED
ft_200GXVR,DELETED
ft_200JJGY,DELETED
ft_200JMHZ,DELETED
ft_200JMCB,DELETED
ft_200JRZY,DELETED
ft_200JQJR,DELETED
ft_200JVKG,DELETED
ft_200GZKK,DELETED
ft_200JMCR,DELETED
ft_200JLDX,DELETED
ft_200JVFH,DELETED
ft_200HGJG,DELETED
ft_200JNGW,DELETED
ft_200HCKS,DELETED
ft_200HDSF,DELETED
ft_200GXSV,DELETED
ft_200GRBL,DELETED
ft_200JJVG,DELETED
ft_200GVRJ,DELETED
ft_200JNQY,DELETED
ft_200GWWP,DELETED
ft_200HBNG,DELETED
ft_200JNSZ,DELETED
ft_200JMSZ,DELETED
ft_200GVVD,DELETED
ft_200JLDW,DELETED
ft_200JPGS,DELETED
ft_200JPTR,DELETED
ft_200JPBK,DELETED
ft_200JMKN,DELETED
ft_200HDBC,DELETED
ft_200HDBZ,DELETED
ft_200HBQL,DELETED
ft_200HGBD,DELETED
ft_200GVSH,DELETED
ft_200HHCP,DELETED
ft_200HFCL,DELETED
ft_200GZHN,DELETED
ft_200JHTV,DELETED
ft_200JNND,DELETED
ft_200GXWC,DELETED
ft_200GZMH,DELETED
ft_200HBGK,DELETED
ft_200JTGJ,DELETED
ft_200JNKP,DELETED
ft_200JSNG,DELETED
ft_200HGWF,DELETED
ft_200JSNR,DELETED
ft_200GZNZ,DELETED
ft_200GZJM,DELETED
ft_200JJJB,DELETED
ft_200JJLH,DELETED
ft_200JKWQ,DELETED
ft_200HFMP,DELETED
ft_200HGNN,DELETED
ft_200GXRR,DELETED
ft_200JMFL,DELETED
ft_200HBMD,DELETED
ft_200JLYS,DELETED
ft_200JSKW,DELETED
ft_200HCFR,DELETED
ft_200JJRB,DELETED
ft_200JNNY,DELETED
ft_200JMFX,DELETED
ft_200HHGW,DELETED
ft_200HBBN,DELETED
ft_200GXFX,DELETED
ft_200JLDT,DELETED
ft_200JTGG,DELETED
ft_200HDMG,DELETED
ft_200GZYZ,DELETED
ft_200JMSL,DELETED
ft_200HCLG,DELETED
ft_200JMNL,DELETED
ft_200GWPD,DELETED
ft_200JMFY,DELETED
ft_200JVBK,DELETED
ft_200HDTR,DELETED
ft_200JPJG,DELETED
ft_200JQDK,DELETED
ft_200JLSV,DELETED
ft_200JMVG,DELETED
ft_200HGDB,DELETED
ft_200JVNT,DELETED
ft_200HBKM,DELETED
ft_200JMKZ,DELETED
ft_200HBJP,DELETED
ft_200JPXG,DELETED
ft_200GXWH,DELETED
ft_200HGLK,DELETED
ft_200JNSW,DELETED
ft_200GXXL,DELETED
ft_200JNWM,DELETED
ft_200JLFL,DELETED
ft_200JNJX,DELETED
ft_200JNYC,DELETED
ft_200GWXZ,DELETED
ft_200JKGG,DELETED
ft_200GVPZ,DELETED
ft_200HGWD,DELETED
ft_200JTWY,DELETED
ft_200HGXL,DELETED
ft_200JRZT,DELETED
ft_200JSYN,DELETED
ft_200JNVD,DELETED
ft_200GVNV,DELETED
ft_200JQDY,DELETED
ft_200GYVJ,DELETED
ft_200JKPN,DELETED
ft_200JMGC,DELETED
ft_200HDMY,DELETED
ft_200JJDJ,DELETED
ft_200JTFL,DELETED
ft_200JMWC,DELETED
ft_200GRMM,DELETED
ft_200HFQH,DELETED
ft_200JLGK,DELETED
ft_200HCDX,DELETED
ft_200JQLX,DELETED
ft_200JPSP,DELETED
ft_200JPXC,DELETED
ft_200JMNQ,DELETED
ft_200JLBW,DELETED
ft_200JTXB,DELETED
ft_200JMSN,DELETED
ft_200JTHV,DELETED
ft_200JNKG,DELETED
ft_200GVTD,DELETED
ft_200GZXV,DELETED
ft_200GVTS,DELETED
ft_200GVLV,DELETED
ft_200GRDV,DELETED
ft_200HCJH,DELETED
ft_200HCYR,DELETED
ft_200HBCR,DELETED
ft_200JJKV,DELETED
ft_200JHWT,DELETED
ft_200JTGX,DELETED
ft_200JVJT,DELETED
ft_200GXBS,DELETED
ft_200JMCC,DELETED
ft_200JKRM,DELETED
ft_200JRNP,DELETED
ft_200HCFY,DELETED
ft_200GYTQ,DELETED
ft_200JLSM,DELETED
ft_200GWLM,DELETED
ft_200HBJJ,DELETED
ft_200JKTN,DELETED
ft_200JKBJ,DELETED
ft_200HBXM,DELETED
ft_200JMNJ,DELETED
ft_200GYYZ,DELETED
ft_200JLDK,DELETED
ft_200GZLB,DELETED
ft_200GXLC,DELETED
ft_200GWYB,DELETED
ft_200HBYB,DELETED
ft_200JVSN,DELETED
ft_200JKJB,DELETED
ft_200JRVG,DELETED
ft_200JLYQ,DELETED
ft_200HCBG,DELETED
ft_200JLQN,DELETED
ft_200GVGG,DELETED
ft_200HBHX,DELETED
ft_200HDLS,DELETED
ft_200GYCD,DELETED
ft_200HBKR,DELETED
ft_200JLTQ,DELETED
ft_200GQYZ,DELETED
ft_200GWRV,DELETED
ft_200HBFQ,DELETED
ft_200JHWG,DELETED
ft_200JQVW,DELETED
ft_200GYWF,DELETED
ft_200GVXH,DELETED
ft_200HHBM,DELETED
ft_200HGDT,DELETED
ft_200JNJZ,DELETED
ft_200JPPK,DELETED
ft_200HFJL,DELETED
ft_200GXCC,DELETED
ft_200GRMD,DELETED
ft_200JKZR,DELETED
ft_200JNKD,DELETED
ft_200HDYS,DELETED
ft_200JQKY,DELETED
ft_200GYVY,DELETED
ft_200HDDS,DELETED
ft_200HBTX,DELETED
ft_200JLSL,DELETED
ft_200GYTP,DELETED
ft_200GYSX,DELETED
ft_200HCDS,DELETED
ft_200GWQY,DELETED
ft_200JQNY,DELETED
ft_200HFVY,DELETED
ft_200JTQQ,DELETED
ft_200GZLG,DELETED
ft_200HHJL,DELETED
ft_200JPFR,DELETED
ft_200HCLB,DELETED
ft_200GWXT,DELETED
ft_200GZYX,DELETED
ft_200JTLN,DELETED
ft_200GVHR,DELETED
ft_200HHFK,DELETED
ft_200JQXR,DELETED
ft_200JJQG,DELETED
ft_200JKQZ,DELETED
ft_200JSLL,DELETED
ft_200JVFF,DELETED
ft_200JKPX,DELETED
ft_200GVXT,DELETED
ft_200JNMD,DELETED
ft_200JLMK,DELETED
ft_200GZQF,DELETED
ft_200JRDM,DELETED
ft_200GVZY,DELETED
ft_200HFMG,DELETED
ft_200GWMW,DELETED
ft_200JMHX,DELETED
ft_200GYJQ,DELETED
ft_200GYHB,DELETED
ft_200JQSF,DELETED
ft_200JKJP,DELETED
ft_200JHYN,DELETED
ft_200JLRT,DELETED
ft_200JLCT,DELETED
ft_200GWGG,DELETED
ft_200HDMT,DELETED
ft_200GRFW,DELETED
ft_200GXDD,DELETED
ft_200GVPW,DELETED
ft_200HGTM,DELETED
ft_200HDQF,DELETED
ft_200JNTW,DELETED
ft_200JSVP,DELETED
ft_200GVGJ,DELETED
ft_200JSGF,DELETED
ft_200GXXM,DELETED
ft_200JNXK,DELETED
ft_200JJNL,DELETED
ft_200HDYB,DELETED
ft_200HDKC,DELETED
ft_200JQSX,DELETED
ft_200JSKP,DELETED
ft_200HDCN,DELETED
ft_200GWRG,DELETED
ft_200HDBJ,DELETED
ft_200JLDR,DELETED
ft_200JVHD,DELETED
ft_200HBFY,DELETED
ft_200GVXK,DELETED
ft_200GZQS,DELETED
ft_200JLPY,DELETED
ft_200HFZN,DELETED
ft_200GWVC,DELETED
ft_200GWGY,DELETED
ft_200HCSF,DELETED
ft_200JSPZ,DELETED
ft_200GWZZ,DELETED
ft_200JSNJ,DELETED
ft_200GZNK,DELETED
ft_200HBDF,DELETED
ft_200HBSM,DELETED
ft_200HCLL,DELETED
ft_200JNWV,DELETED
ft_200HCBJ,DELETED
ft_200JSNY,DELETED
ft_200JHYS,DELETED
ft_200JRMN,DELETED
ft_200JKJJ,DELETED
ft_200JJJK,DELETED
ft_200GWYD,DELETED
ft_200JTHK,DELETED
ft_200JMQG,DELETED
ft_200JJMQ,DELETED
ft_200HBNY,DELETED
ft_200JLRV,DELETED
ft_200HFXQ,DELETED
ft_200JQGG,DELETED
ft_200HGXM,DELETED
ft_200GYFC,DELETED
ft_200JSVL,DELETED
ft_200JSWX,DELETED
ft_200HFHS,DELETED
ft_200HHBB,DELETED
ft_200HHDL,DELETED
ft_200HFVD,DELETED
ft_200GXZK,DELETED
ft_200GZHL,DELETED
ft_200GXTL,DELETED
ft_200GVHQ,DELETED
ft_200HCGL,DELETED
ft_200GWFK,DELETED
ft_200GXYN,DELETED
ft_200GVJR,DELETED
ft_200GXPN,DELETED
ft_200GXTG,DELETED
ft_200HFSP,DELETED
ft_200GVFZ,DELETED
ft_200JSVN,DELETED
ft_200JSPV,DELETED
ft_200JNHF,DELETED
ft_200HGLH,DELETED
ft_200GVRQ,DELETED
ft_200JRZZ,DELETED
ft_200JSJZ,DELETED
ft_200GXQC,DELETED
ft_200HBWX,DELETED
ft_200JHXG,DELETED
ft_200GYZH,DELETED
ft_200JMLK,DELETED
ft_200JRHF,DELETED
ft_200JVFY,DELETED
ft_200HDVN,DELETED
ft_200GYRB,DELETED
ft_200HBMY,DELETED
ft_200GQZY,DELETED
ft_200JQWG,DELETED
ft_200GRHP,DELETED
ft_200JRPL,DELETED
ft_200JKXP,DELETED
ft_200HBPQ,DELETED
ft_200JJVN,DELETED
ft_200JQYY,DELETED
ft_200JQFW,DELETED
ft_200GZXH,DELETED
ft_200GYRX,DELETED
ft_200JSDJ,DELETED
ft_200GWCQ,DELETED
ft_200HFKS,DELETED
ft_200GRMH,DELETED
ft_200GVRK,DELETED
ft_200JHTP,DELETED
ft_200JJPP,DELETED
ft_200HDTC,DELETED
ft_200JVCN,DELETED
ft_200JPGD,DELETED
ft_200HGWW,DELETED
ft_200HGTW,DELETED
ft_200JLBX,DELETED
ft_200JPVS,DELETED
ft_200HCWP,DELETED
ft_200GZZV,DELETED
ft_200JRFD,DELETED
ft_200HCLT,DELETED
ft_200JLGZ,DELETED
ft_200GRHL,DELETED
ft_200HDDZ,DELETED
ft_200HBDK,DELETED
ft_200HGWJ,DELETED
ft_200HCKQ,DELETED
ft_200JJZH,DELETED
ft_200HGJY,DELETED
ft_200JKZW,DELETED
ft_200HBWK,DELETED
ft_200HGSZ,DELETED
ft_200JKMG,DELETED
ft_200HBCP,DELETED
ft_200JHTZ,DELETED
ft_200JQYD,DELETED
ft_200JKGL,DELETED
ft_200JMHG,DELETED
ft_200HCDZ,DELETED
ft_200JPQZ,DELETED
ft_200JPBX,DELETED
ft_200GYCT,DELETED
ft_200JVRR,DELETED
ft_200JMYP,DELETED
ft_200GXSZ,DELETED
ft_200JTDS,DELETED
ft_200JJCZ,DELETED
ft_200HGSW,DELETED
ft_200JRZK,DELETED
ft_200JPHR,DELETED
ft_200HGWP,DELETED
ft_200JVKB,DELETED
ft_200JJZX,DELETED
ft_200JLJS,DELETED
ft_200HFVK,DELETED
ft_200JSWK,DELETED
ft_200GYHY,DELETED
ft_200JMZR,DELETED
ft_200JHVV,DELETED
ft_200GXMD,DELETED
ft_200HFZD,DELETED
ft_200JMJN,DELETED
ft_200HBTP,DELETED
ft_200GVWF,DELETED
ft_200GRHM,DELETED
ft_200JPHX,DELETED
ft_200JNVB,DELETED
ft_200GWFW,DELETED
ft_200JTNN,DELETED
ft_200GZCP,DELETED
ft_200GWSF,DELETED
ft_200HDCS,DELETED
ft_200HFDJ,DELETED
ft_200JNBJ,DELETED
ft_200GWZK,DELETED
ft_200HGKP,DELETED
ft_200JSNT,DELETED
ft_200JKTK,DELETED
ft_200GZBM,DELETED
ft_200GYZS,DELETED
ft_200JRNH,DELETED
ft_200GZVS,DELETED
ft_200JTHW,DELETED
ft_200GYVK,DELETED
ft_200JQLH,DELETED
ft_200GZWC,DELETED
ft_200JJQB,DELETED
ft_200JQCC,DELETED
ft_200GYBZ,DELETED
ft_200HBSQ,DELETED
ft_200JJCT,DELETED
ft_200JPMN,DELETED
ft_200JJTB,DELETED
ft_200JLST,DELETED
ft_200GXSL,DELETED
ft_200JRJW,DELETED
ft_200GWCG,DELETED
ft_200GXTV,DELETED
ft_200JSCQ,DELETED
ft_200HDJC,DELETED
ft_200GVMV,DELETED
ft_200HDRK,DELETED
ft_200JTKR,DELETED
ft_200GZKL,DELETED
ft_200JKFT,DELETED
ft_200JSQF,DELETED
ft_200GYHL,DELETED
ft_200JKPM,DELETED
ft_200JSPJ,DELETED
ft_200GYNL,DELETED
ft_200JTCJ,DELETED
ft_200GZWW,DELETED
ft_200JTGP,DELETED
ft_200HDPP,DELETED
ft_200HDFW,DELETED
ft_200HCGX,DELETED
ft_200JJNK,DELETED
ft_200JQWP,DELETED
ft_200HBBW,DELETED
ft_200HDBB,DELETED
ft_200JSKN,DELETED
ft_200GVTK,DELETED
ft_200GZVX,DELETED
ft_200JVSZ,DELETED
ft_200JMCY,DELETED
ft_200JJBV,DELETED
ft_200HCRB,DELETED
ft_200GZRR,DELETED
ft_200GYMM,DELETED
ft_200JQZT,DELETED
ft_200GZNH,DELETED
ft_200HBRF,DELETED
ft_200JJBC,DELETED
ft_200JQFL,DELETED
ft_200JLWD,DELETED
ft_200GWTG,DELETED
ft_200JTJV,DELETED
ft_200JRYR,DELETED
ft_200JVBM,DELETED
ft_200HBPH,DELETED
ft_200JKLJ,DELETED
ft_200GRFM,DELETED
ft_200JSJG,DELETED
ft_200JPTL,DELETED
ft_200JTKZ,DELETED
ft_200HDHX,DELETED
ft_200JTSF,DELETED
ft_200GWDM,DELETED
ft_200GVPG,DELETED
ft_200GZSS,DELETED
ft_200GYDX,DELETED
ft_200HFSD,DELETED
ft_200JTKF,DELETED
ft_200GXTB,DELETED
ft_200HBZP,DELETED
ft_200JRCC,DELETED
ft_200GWNT,DELETED
ft_200HHKB,DELETED
ft_200HFNP,DELETED
ft_200GYND,DELETED
ft_200GYXK,DELETED
ft_200JNNG,DELETED
ft_200JVSG,DELETED
ft_200JQGL,DELETED
ft_200GYVF,DELETED
ft_200JPJW,DELETED
ft_200JPBW,DELETED
ft_200GZXX,DELETED
ft_200GZSY,DELETED
ft_200GYJK,DELETED
