skill_uri,label,count,frequency_ratio,is_uri_backed
,mettre,112,0.13349,False
,plan,111,0.1323,False
,principales,110,0.13111,False
,suivre,110,0.13111,False
,cross,109,0.12992,False
,collaborate,109,0.12992,False
,secteur,109,0.12992,False
,continuous,108,0.12872,False
,requirements,108,0.12872,False
,analyser,108,0.12872,False
,maintenance,107,0.12753,False
,about,107,0.12753,False
,excellence,107,0.12753,False
,operational,106,0.12634,False
,oriented,106,0.12634,False
,internes,106,0.12634,False
,recherchons,106,0.12634,False
,marche,105,0.12515,False
,stakeholders,105,0.12515,False
,identify,105,0.12515,False
http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,gérer le système normalisé de planification des ressources dune entreprise,104,0.12396,True
,evolution,104,0.12396,False
,proactive,104,0.12396,False
,preparation,103,0.12277,False
http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,analyse marketing,102,0.12157,True
,local,102,0.12157,False
,marketing,102,0.12157,False
,notamment,102,0.12157,False
,provide,102,0.12157,False
,nouveaux,101,0.12038,False
,sous,101,0.12038,False
,rigueur,100,0.11919,False
,rejoindre,100,0.11919,False
,customer,100,0.11919,False
,good,100,0.11919,False
,connaissances,100,0.11919,False
,group,99,0.118,False
,professional,98,0.11681,False
,œuvre,97,0.11561,False
,identifier,96,0.11442,False
,nouvelles,96,0.11442,False
,products,96,0.11442,False
,metiers,96,0.11442,False
,jour,95,0.11323,False
,entre,95,0.11323,False
,garantir,95,0.11323,False
,participate,95,0.11323,False
,differents,95,0.11323,False
,into,94,0.11204,False
,transformation,94,0.11204,False
,pays,94,0.11204,False
,follow,93,0.11085,False
,analyses,93,0.11085,False
,more,93,0.11085,False
,application,93,0.11085,False
,supporting,92,0.10965,False
,solving,92,0.10965,False
,idealement,92,0.10965,False
,compliance,91,0.10846,False
,conception,91,0.10846,False
,dynamique,90,0.10727,False
,long,90,0.10727,False
,monitor,90,0.10727,False
,proficiency,90,0.10727,False
,what,90,0.10727,False
,ameliorer,90,0.10727,False
,si,89,0.10608,False
,comme,89,0.10608,False
,contexte,89,0.10608,False
,industry,89,0.10608,False
,system,89,0.10608,False
,sales,89,0.10608,False
,proposer,89,0.10608,False
,realiser,89,0.10608,False
,europe,89,0.10608,False
,bonnes,89,0.10608,False
,needs,88,0.10489,False
,conseil,88,0.10489,False
,via,88,0.10489,False
,maintain,88,0.10489,False
,problem,88,0.10489,False
,resolution,88,0.10489,False
,time,88,0.10489,False
,autres,88,0.10489,False
,activite,87,0.10369,False
,non,87,0.10369,False
,leader,87,0.10369,False
,ensemble,87,0.10369,False
,supply,86,0.1025,False
,improve,86,0.1025,False
,training,86,0.1025,False
,aupres,86,0.1025,False
,responsable,85,0.10131,False
,depuis,85,0.10131,False
,securite,85,0.10131,False
,between,85,0.10131,False
,validation,85,0.10131,False
,best,85,0.10131,False
,help,85,0.10131,False
,well,85,0.10131,False
,software,85,0.10131,False
,one,85,0.10131,False
,creation,85,0.10131,False
,croissance,84,0.10012,False
,partenaires,84,0.10012,False
,participation,84,0.10012,False
,position,84,0.10012,False
,responsible,84,0.10012,False
,reports,84,0.10012,False
,tests,84,0.10012,False
,strategy,83,0.09893,False
,opportunites,83,0.09893,False
,able,83,0.09893,False
,end,83,0.09893,False
,innovative,83,0.09893,False
,contact,82,0.09774,False
,strategie,82,0.09774,False
,microsoft,82,0.09774,False
,dynamic,82,0.09774,False
,sites,82,0.09774,False
,analyze,82,0.09774,False
,career,82,0.09774,False
,solution,82,0.09774,False
,initiative,82,0.09774,False
,managers,82,0.09774,False
,construction,81,0.09654,False
,challenges,81,0.09654,False
,monitoring,81,0.09654,False
,project management,81,0.09654,False
,organization,81,0.09654,False
,other,81,0.09654,False
,redaction,81,0.09654,False
,respect,81,0.09654,False
,delivery,80,0.09535,False
,industrial,80,0.09535,False
,learn,80,0.09535,False
,drive,80,0.09535,False
,evoluer,79,0.09416,False
,energie,79,0.09416,False
,written,79,0.09416,False
,practices,78,0.09297,False
,control,78,0.09297,False
,opportunities,78,0.09297,False
,optimisation,78,0.09297,False
,complexes,78,0.09297,False
,industriel,78,0.09297,False
,tasks,78,0.09297,False
,il,77,0.09178,False
,market,77,0.09178,False
,strategic,77,0.09178,False
,power,77,0.09178,False
,relationnel,77,0.09178,False
,languages,77,0.09178,False
,detail,77,0.09178,False
,avant,77,0.09178,False
,mecanique,77,0.09178,False
,collaborer,77,0.09178,False
,growth,76,0.09058,False
,science,76,0.09058,False
,controle,76,0.09058,False
,sera,75,0.08939,False
,job,75,0.08939,False
,open,75,0.08939,False
,customers,75,0.08939,False
,structure,75,0.08939,False
,realisation,75,0.08939,False
http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787,informatique,74,0.0882,True
,suivantes,74,0.0882,False
,lien,74,0.0882,False
,who,74,0.0882,False
,pratiques,74,0.0882,False
,leurs,74,0.0882,False
,plusieurs,74,0.0882,False
,genie,74,0.0882,False
,professionnel,74,0.0882,False
,technology,73,0.08701,False
,over,73,0.08701,False
,seront,73,0.08701,False
,decision,73,0.08701,False
,profile,73,0.08701,False
,but,73,0.08701,False
,automation,73,0.08701,False
,people,73,0.08701,False
,direction,73,0.08701,False
,chain,72,0.08582,False
,first,72,0.08582,False
,both,72,0.08582,False
,driven,72,0.08582,False
,collaborateurs,71,0.08462,False
,domaines,71,0.08462,False
,financial,71,0.08462,False
,opportunity,71,0.08462,False
,while,71,0.08462,False
,capacites,71,0.08462,False
,resultats,71,0.08462,False
,documents,71,0.08462,False
,professionnelle,71,0.08462,False
http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,développement par itérations,70,0.08343,True
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,gestion de projets par méthode agile,70,0.08343,True
,affaires,70,0.08343,False
,managing,70,0.08343,False
,build,70,0.08343,False
,take,70,0.08343,False
,countries,70,0.08343,False
,why,70,0.08343,False
,tres,70,0.08343,False
,relation,70,0.08343,False
,industrie,70,0.08343,False
,courant,69,0.08224,False
,assist,69,0.08224,False
,external,69,0.08224,False
,prepare,69,0.08224,False
,coordinate,69,0.08224,False
,make,69,0.08224,False
,fort,69,0.08224,False
,langues,69,0.08224,False
,reseau,68,0.08105,False
,also,68,0.08105,False
,using,68,0.08105,False
,erp,68,0.08105,False
,autonome,68,0.08105,False
,environnements,67,0.07986,False
,life,67,0.07986,False
,language,67,0.07986,False
,ingenieurs,67,0.07986,False
,vente,67,0.07986,False
,strategies,67,0.07986,False
,industriels,67,0.07986,False
,definition,67,0.07986,False
,comprendre,66,0.07867,False
,ecrit,66,0.07867,False
,offres,66,0.07867,False
,environments,66,0.07867,False
,interest,66,0.07867,False
,day,66,0.07867,False
,leadership,66,0.07867,False
,testing,66,0.07867,False
,include,66,0.07867,False
,egalement,66,0.07867,False
,etudes,66,0.07867,False
,problemes,66,0.07867,False
,personnes,66,0.07867,False
,capable,66,0.07867,False
,atout,65,0.07747,False
,budget,65,0.07747,False
,complex,65,0.07747,False
,methodologies,65,0.07747,False
,developing,65,0.07747,False
,collaborative,65,0.07747,False
,point,65,0.07747,False
,leading,65,0.07747,False
,player,65,0.07747,False
,terrain,65,0.07747,False
,value,64,0.07628,False
,understand,64,0.07628,False
,various,64,0.07628,False
,world,64,0.07628,False
,contributing,64,0.07628,False
,conditions,64,0.07628,False
,action,64,0.07628,False
,chaque,64,0.07628,False
http://data.europa.eu/esco/skill/6a609f8f-1451-4102-ad2d-62c5270e1237,service administratif,63,0.07509,True
http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,python programmation informatique,63,0.07509,True
,cles,63,0.07509,False
,commerciale,63,0.07509,False
,enjeux,63,0.07509,False
,valeur,63,0.07509,False
,relations,63,0.07509,False
,intelligence,63,0.07509,False
,issues,63,0.07509,False
,agile,63,0.07509,False
,python,63,0.07509,False
,results,63,0.07509,False
,making,63,0.07509,False
,implement,63,0.07509,False
,secteurs,63,0.07509,False
,opportunite,63,0.07509,False
http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742,sql,62,0.0739,True
,indispensable,62,0.0739,False
,oral,62,0.0739,False
,rattache,62,0.0739,False
,bachelor,62,0.0739,False
,kpis,62,0.0739,False
,interet,62,0.0739,False
,future,62,0.0739,False
,bi,62,0.0739,False
,piloter,62,0.0739,False
,talents,62,0.0739,False
,ms,62,0.0739,False
,veille,61,0.07271,False
,commerciales,61,0.07271,False
,daily,61,0.07271,False
,fast,61,0.07271,False
,junior,61,0.07271,False
,orientation,61,0.07271,False
,education,61,0.07271,False
,deploiement,61,0.07271,False
,ai,61,0.07271,False
,qualites,61,0.07271,False
,creer,61,0.07271,False
,risques,61,0.07271,False
,rapports,61,0.07271,False
,prendre,61,0.07271,False
,interpersonal,60,0.07151,False
,ll,60,0.07151,False
,when,60,0.07151,False
,test,60,0.07151,False
,learning,60,0.07151,False
,propose,60,0.07151,False
,mais,60,0.07151,False
,consultants,60,0.07151,False
,pourquoi,59,0.07032,False
,sujets,59,0.07032,False
,diverse,59,0.07032,False
,relevant,59,0.07032,False
,materials,59,0.07032,False
,program,59,0.07032,False
,metier,59,0.07032,False
,cycle,59,0.07032,False
,infrastructure,59,0.07032,False
,conformite,59,0.07032,False
,filiale,59,0.07032,False
,analyst,59,0.07032,False
,challenge,58,0.06913,False
,efficiency,58,0.06913,False
,advanced,58,0.06913,False
,change,58,0.06913,False
,apply,58,0.06913,False
,fournisseurs,58,0.06913,False
,tels,58,0.06913,False
,present,58,0.06913,False
,rediger,58,0.06913,False
,attention,58,0.06913,False
,indicateurs,58,0.06913,False
,fonction,57,0.06794,False
,offre,57,0.06794,False
,produit,57,0.06794,False
,activement,57,0.06794,False
,familiarity,57,0.06794,False
,than,57,0.06794,False
,insights,57,0.06794,False
,temps,57,0.06794,False
,couts,57,0.06794,False
,pilotage,57,0.06794,False
,selon,57,0.06794,False
,siege,56,0.06675,False
,context,56,0.06675,False
,cost,56,0.06675,False
,transport,56,0.06675,False
,focus,56,0.06675,False
,play,56,0.06675,False
,unique,56,0.06675,False
,experts,56,0.06675,False
,powerpoint,56,0.06675,False
,rejoignez,56,0.06675,False
,delais,56,0.06675,False
,rigoureux,56,0.06675,False
,systeme,56,0.06675,False
,methodes,56,0.06675,False
,bien,56,0.06675,False
,belgium,56,0.06675,False
,different,56,0.06675,False
,aussi,56,0.06675,False
,grande,56,0.06675,False
,optimiser,56,0.06675,False
,appetence,55,0.06555,False
,curiosite,55,0.06555,False
,strategique,55,0.06555,False
,months,55,0.06555,False
,optimization,55,0.06555,False
,multiple,55,0.06555,False
,reviews,55,0.06555,False
,renforcer,55,0.06555,False
,interne,55,0.06555,False
,industrielle,55,0.06555,False
,accompagnement,55,0.06555,False
,contribution,54,0.06436,False
,reunions,54,0.06436,False
,computer,54,0.06436,False
,core,54,0.06436,False
,progress,54,0.06436,False
,employees,54,0.06436,False
,act,54,0.06436,False
,deliver,54,0.06436,False
,safety,54,0.06436,False
,code,54,0.06436,False
,start,54,0.06436,False
,excellentes,54,0.06436,False
,pas,54,0.06436,False
,vers,54,0.06436,False
,partie,54,0.06436,False
,kpi,54,0.06436,False
,region,54,0.06436,False
,description,54,0.06436,False
,definir,54,0.06436,False
,comprehension,53,0.06317,False
,exposure,53,0.06317,False
,re,53,0.06317,False
,portfolio,53,0.06317,False
,structured,53,0.06317,False
,sap,53,0.06317,False
,real,53,0.06317,False
,maintenir,53,0.06317,False
,proposition,53,0.06317,False
,grace,53,0.06317,False
,operationnelle,53,0.06317,False
,engagement,53,0.06317,False
,alternance,52,0.06198,False
,architecture,52,0.06198,False
,building,52,0.06198,False
,interface,52,0.06198,False
,mesure,52,0.06198,False
,qualification,52,0.06198,False
,hands,52,0.06198,False
,soft,52,0.06198,False
,meetings,52,0.06198,False
,where,52,0.06198,False
,comfortable,52,0.06198,False
,decisions,52,0.06198,False
,grow,52,0.06198,False
,suite,52,0.06198,False
,aise,52,0.06198,False
,differentes,52,0.06198,False
,responsabilite,52,0.06198,False
,monde,52,0.06198,False
,specifications,52,0.06198,False
,exigences,52,0.06198,False
,effectively,52,0.06198,False
http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,conseiller dautres personnes,51,0.06079,True
,partners,51,0.06079,False
,risks,51,0.06079,False
,audits,51,0.06079,False
,cloud,51,0.06079,False
,clear,51,0.06079,False
,user,51,0.06079,False
,energy,51,0.06079,False
,driving,51,0.06079,False
,consultant,51,0.06079,False
,preuve,51,0.06079,False
,entreprises,51,0.06079,False
,lies,51,0.06079,False
,locaux,51,0.06079,False
,equipements,51,0.06079,False
,cœur,50,0.05959,False
,directeur,50,0.05959,False
,multicultural,50,0.05959,False
,committed,50,0.05959,False
,year,50,0.05959,False
,following,50,0.05959,False
,similar,50,0.05959,False
,optimize,50,0.05959,False
,autonomous,50,0.05959,False
,review,50,0.05959,False
,bases,50,0.05959,False
,developer,49,0.0584,False
,sector,49,0.0584,False
,manufacturing,49,0.0584,False
,deployment,49,0.0584,False
,phases,49,0.0584,False
,workflows,49,0.0584,False
,presence,49,0.0584,False
,success,49,0.0584,False
,objectifs,49,0.0584,False
,parties,49,0.0584,False
,technologique,49,0.0584,False
,cas,49,0.0584,False
,ne,49,0.0584,False
,concevoir,49,0.0584,False
,soutenir,49,0.0584,False
,specialisee,48,0.05721,False
,direct,48,0.05721,False
,travel,48,0.05721,False
,providing,48,0.05721,False
,demandes,48,0.05721,False
,b2,48,0.05721,False
,deplacements,48,0.05721,False
,toutes,48,0.05721,False
,amene,48,0.05721,False
,chef,48,0.05721,False
,lors,48,0.05721,False
,synthese,48,0.05721,False
,engagements,48,0.05721,False
,tous,48,0.05721,False
,perform,48,0.05721,False
,aisance,47,0.05602,False
,c1,47,0.05602,False
,presentations,47,0.05602,False
,risk,47,0.05602,False
,satisfaction,47,0.05602,False
,senior,47,0.05602,False
,large,47,0.05602,False
,active,47,0.05602,False
,fois,47,0.05602,False
,specialisation,47,0.05602,False
,innovantes,47,0.05602,False
,normes,47,0.05602,False
,use,47,0.05602,False
,platforms,47,0.05602,False
,travers,47,0.05602,False
http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf,négocier des conditions avec les fournisseurs,46,0.05483,True
http://data.europa.eu/esco/skill/7ee9fb56-91b1-4363-b51f-ea54ae1b5761,négocier les prix,46,0.05483,True
,integrer,46,0.05483,False
,identification,46,0.05483,False
,organizational,46,0.05483,False
,highly,46,0.05483,False
,negotiation,46,0.05483,False
,worldwide,46,0.05483,False
,during,46,0.05483,False
,improving,46,0.05483,False
,track,46,0.05483,False
,word,46,0.05483,False
,reseaux,46,0.05483,False
,financiers,46,0.05483,False
,recrutement,46,0.05483,False
,repondre,46,0.05483,False
,sommes,46,0.05483,False
,quotidien,46,0.05483,False
,maitrisez,46,0.05483,False
,operationnel,46,0.05483,False
,unit,46,0.05483,False
,aurez,46,0.05483,False
,every,46,0.05483,False
,internationale,46,0.05483,False
,directement,46,0.05483,False
