skill_uri,label,count,frequency_ratio,cluster_count,dominant_cluster,dominant_cluster_share,max_concentration
,afin,151,0.17998,6,DATA_IT,0.358,2.097
,place,150,0.17878,6,DATA_IT,0.413,1.714
,manager,150,0.17878,6,DATA_IT,0.36,2.193
,equivalent,149,0.17759,6,DATA_IT,0.49,1.169
http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,microsoft office excel,148,0.1764,6,DATA_IT,0.459,2.56
,excel,148,0.1764,6,DATA_IT,0.459,2.56
,groupe,147,0.17521,6,DATA_IT,0.374,1.615
,base,146,0.17402,6,DATA_IT,0.404,1.41
,coordination,146,0.17402,6,DATA_IT,0.425,1.483
,tout,146,0.17402,6,DATA_IT,0.329,1.952
http://data.europa.eu/esco/skill/0c0488b3-fca5-4deb-865b-8dc605c3d909,argumentaire de vente,144,0.17163,6,MARKETING_SALES,0.458,3.77
,fluent,144,0.17163,6,DATA_IT,0.472,1.428
,responsibilities,144,0.17163,6,DATA_IT,0.528,1.159
,ainsi,143,0.17044,6,DATA_IT,0.406,1.439
,site,143,0.17044,7,DATA_IT,0.315,5.867
,contribuer,143,0.17044,6,DATA_IT,0.462,1.439
http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,schéma de conception dinterface utilisateur,142,0.16925,6,DATA_IT,0.606,1.33
,finance,142,0.16925,6,DATA_IT,0.437,4.479
http://data.europa.eu/esco/skill/c4b1f326-224a-420a-b8b3-814a8f13b6cb,mettre en œuvre le design front end dun site web,141,0.16806,6,DATA_IT,0.603,1.324
,commercial,141,0.16806,6,MARKETING_SALES,0.34,2.8
,qu,141,0.16806,6,DATA_IT,0.489,1.075
,design,141,0.16806,6,DATA_IT,0.603,1.324
,bonne,141,0.16806,6,DATA_IT,0.433,1.275
,charge,140,0.16687,6,DATA_IT,0.414,2.035
,forte,140,0.16687,6,DATA_IT,0.314,1.922
,analysis,140,0.16687,6,DATA_IT,0.657,1.443
