offer_id,external_id,domain_tag,title,kept,dropped,error
58,242539,sales,Sales Coordinator (H/F),5,0,
61,242535,hr,Asia Staffing Lead (H/F),5,0,
63,242531,engineering,V.I.E. Ingénieur(e) Commercial Junior (H/F),0,0,
65,242529,engineering,INGÉNIEUR SYSTÈMES EMBARQUÉS (H/F),4,1,
76,238122,engineering,Junior Industrial Performance Specialist VIE (H/F),5,0,
78,237413,sales,BUSINESS DEVELOPER (H/F),5,0,
79,236526,engineering,INJECTION EQUIPMENT ENGINEER (M/F) (H/F),5,0,
103,242512,finance,Junior Procurement Referent (H/F),5,0,
104,242511,hr,Sales Operations B2B - RevOps - VIE - Barcelone (H/F),5,0,
105,242506,engineering,VIE – Completion Management System Coordinator (M/F) (H/F),5,0,
107,242500,data,Junior Project Officer – Battery Electric Trains (H/F),0,0,
109,242487,engineering,Responsable qualité (H/F),5,0,
110,242474,engineering,Data Management & Analytical Method Lifecycle (H/F),3,2,
111,242470,finance,VIE Management Controller (H/F),5,0,
112,242458,engineering,Research Associate (H/F),3,2,
113,242456,engineering,MECHANICAL SUPERVISOR (H/F),5,0,
114,242455,engineering,PIPING SUPERVISOR (H/F),5,0,
115,242449,supply,Junior Buyer (H/F),2,3,
116,242408,sales,Business Development and Growth Consultant- Intern (H/F),4,1,
117,242366,finance,INGENIEUR QUALITE – SHANGHAI (H/F),0,0,
119,242177,finance,Ingénieur Qualité Projet Nucléaire (I&C) (H/F),4,0,
120,242175,engineering,Ingénieur Maintenance (H/F),4,0,
121,242173,engineering,Dessinateur projeteur génie civil (H/F),1,3,
122,242172,engineering,Ingénieur électronique (H/F),5,0,
123,242134,sales,Service Business Developer – Food & Pharma Division (H/F),5,0,
124,238268,supply,Strategic Partnership Analyst (H/F),2,1,
125,237820,sales,BUSINESS & TECHNOLOGY ENGINEER M/F (H/F),5,0,
127,237232,engineering,CONTAINER PROCESS DEVELOPMENT ENGINEER (H/F),3,1,
128,237014,sales,AI Solutions & Automation Specialist (H/F),5,0,
129,236744,engineering,VIE - Quality Engineer - Zalaegerszeg (Hungary) (H/F),5,0,
130,232362,engineering,INGÉNIEUR(E) EMBARQUÉ LINUX (YOCTO) (H/F),5,0,
131,232013,engineering,VIE - Product Technical Engineer - Dunavecse (H/F),5,0,
132,242509,supply,VIE - Data Project Leader (H/F),4,1,
133,236293,engineering,Field Engineer (H/F),5,0,
134,236216,engineering,Ingénieur méthodes & maintenance (H/F),4,1,
135,235859,marketing,GRAPHIC DESIGNER (H/F),5,0,
136,231590,supply,INGENIEUR LEAN LOGISTIQUE CHANTIER D'AMELIORATION CONTINUE (H/F),3,2,
